Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1380000,-0.0004160513,5.5874376,1.0326189e-07,0.069785856,0.00029174754,None,None,None,1.0
1390000,-0.0005983306,5.5308127,1.8034515e-07,0.07091476,0.00029169052,None,None,None,1.0
1400000,-0.0002752521,5.5144534,2.4864764e-07,0.06958722,0.00029163348,None,None,None,1.0
1410000,-0.0005339593,5.559705,1.4757002e-07,0.07508013,0.00029157015,None,None,None,1.0
1420000,0.0002825674,5.5611086,2.245865e-07,0.06840382,0.00029150676,None,None,None,1.0
1430000,0.00056570605,5.5141726,5.6620895e-08,0.06763769,0.00029144975,None,None,None,1.0
1440000,0.0005521256,5.3865995,1.7372142e-07,0.07042514,0.00029139273,None,None,None,1.0
1450000,0.00017008663,5.446103,1.2529804e-07,0.06719861,0.00029132937,None,None,None,1.0
1460000,0.00081834896,5.4365225,2.1149808e-07,0.07287188,0.000291266,None,None,None,1.0
1470000,0.00056028855,5.3243637,1.1782967e-07,0.067528635,0.000291209,None,None,None,1.0
1480000,0.00030024734,5.345429,1.6185041e-07,0.066907495,0.00029115198,None,None,None,1.0
1490000,0.0005022361,5.3871975,1.1977515e-07,0.065176114,0.0002910886,None,None,None,1.0
1500000,-4.5072907e-06,5.3798943,1.648346e-07,0.06974264,0.00029103158,None,None,None,1.0
1510000,-0.00020930692,5.3524947,2.0352093e-07,0.07285574,0.00029097457,None,None,None,1.0
1520000,-5.0204646e-05,5.392059,1.4488407e-07,0.069559164,0.00029091118,None,None,None,1.0
1530000,-0.00021549161,5.3143992,2.814524e-07,0.07154852,0.00029084785,None,None,None,1.0
1540000,-3.3139793e-05,5.3453083,2.3369434e-07,0.05879853,0.0002907908,None,None,None,1.0
1550000,-0.009198722,5.4934406,0.005014604,0.069406256,0.00029073394,62972.307692307695,-0.5384615384615384,-0.5384615384615384,1.0
1560000,-0.018797716,5.396664,0.0032134578,0.0704524,0.00029067093,4350.666666666667,-0.5833333333333334,-0.5833333333333334,1.0
1570000,-0.026603207,5.498773,0.0012078604,0.06490309,0.00029060803,None,None,None,1.0
1580000,-0.015126258,5.442959,0.001948378,0.06325311,0.00029055087,1450.857142857143,-0.7142857142857143,-0.7142857142857143,1.0
1590000,-0.025474098,5.503274,0.0027203243,0.066040464,0.00029049453,15852.272727272728,-0.45454545454545453,-0.45454545454545453,1.0
1600000,-0.0511387,5.4353504,0.0030449165,0.06601516,0.00029043184,605.0714285714286,-0.5,-0.5,1.0
1610000,-0.072155684,5.354471,0.0020880136,0.06723683,0.00029036924,681.3571428571429,-0.5,-0.5,1.0
1620000,-0.053837236,5.3583255,0.0015669698,0.061131455,0.0002903063,938.8888888888889,-0.5555555555555556,-0.5555555555555556,1.0
1630000,-0.0147118,5.482193,0.0014583003,0.07439713,0.00029025006,714.5,-0.5,-0.5,1.0
1640000,-0.022837212,5.640277,0.0019242469,0.06921897,0.00029019342,851.4,-0.6,-0.6,1.0
1650000,-0.019619174,5.760727,0.00016082279,0.07208161,0.0002901304,None,None,None,1.0
1660000,-0.009910108,5.692666,6.1316394e-05,0.070437595,0.00029006702,None,None,None,1.0
1670000,-0.0066388096,5.7245684,1.6507207e-05,0.06822677,0.00029001004,None,None,None,1.0
1680000,-0.0048554023,5.7458186,1.6624967e-05,0.06524419,0.000289953,None,None,None,1.0
1690000,-0.0006805864,5.747241,9.061851e-06,0.06717792,0.00028988963,None,None,None,1.0
1700000,-0.00085821137,5.7161965,3.2507062e-06,0.07297867,0.00028982628,None,None,None,1.0
1710000,-0.0021496909,5.7052636,5.748838e-06,0.06564541,0.00028976926,None,None,None,1.0
1720000,-0.0023510982,5.734827,3.3382996e-06,0.06914125,0.00028971225,None,None,None,1.0
1730000,-0.0014086174,5.7871885,2.5115824e-06,0.06746335,0.00028964865,None,None,None,1.0
1740000,-0.00079308834,5.803896,3.2331225e-06,0.06788907,0.00028959144,None,None,None,1.0
1750000,0.001186359,5.817001,4.772898e-06,0.06716372,0.00028953442,None,None,None,1.0
